transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type
80712190438,270351,28-02-2014,1,1,-5,-772,405.3,-4265.3,e-Shop
29258453508,270384,27-02-2014,5,3,-5,-1497,785.925,-8270.925,e-Shop
51750724947,273420,24-02-2014,6,5,-2,-791,166.11,-1748.11,TeleShop
93274880719,271509,24-02-2014,11,6,-3,-1363,429.345,-4518.345,e-Shop
51750724947,273420,23-02-2014,6,5,-2,-791,166.11,-1748.11,TeleShop
97439039119,272357,23-02-2014,8,3,-2,-824,173.04,-1821.04,TeleShop
45649838090,273667,22-02-2014,11,6,-1,-1450,152.25,-1602.25,e-Shop
22643667930,271489,22-02-2014,12,6,-1,-1225,128.625,-1353.625,TeleShop
79792372943,275108,22-02-2014,3,1,-3,-908,286.02,-3010.02,MBR
50076728598,269014,21-02-2014,8,3,-4,-581,244.02,-2568.02,e-Shop
29258453508,270384,20-02-2014,5,3,5,1497,785.925,8270.925,e-Shop
25455265351,267750,20-02-2014,12,6,3,1360,428.4,4508.4,e-Shop
1571002198,275023,20-02-2014,6,5,4,587,246.54,2594.54,e-Shop
43134751727,268487,20-02-2014,3,2,-1,-611,64.155,-675.155,e-Shop
36554696014,269345,20-02-2014,3,5,3,1253,394.695,4153.695,e-Shop
56814940239,268799,20-02-2014,7,5,5,368,193.2,2033.2,e-Shop
54295803788,270787,20-02-2014,12,5,5,584,306.6,3226.6,e-Shop
25963520987,274829,20-02-2014,4,4,3,502,158.13,1664.13,Flagship store
17183929085,266863,20-02-2014,1,2,1,1359,142.695,1501.695,TeleShop
44783317894,269452,20-02-2014,3,1,3,825,259.875,2734.875,TeleShop
58957828601,269009,20-02-2014,11,5,4,846,355.32,3739.32,TeleShop
9647515879,268934,20-02-2014,7,5,3,1384,435.96,4587.96,TeleShop
20781077773,269223,20-02-2014,5,3,3,1203,378.945,3987.945,TeleShop
91116291703,268509,20-02-2014,1,2,4,1243,522.06,5494.06,MBR
68325723297,268516,20-02-2014,9,3,1,877,92.085,969.085,e-Shop
73235813024,268774,20-02-2014,3,5,1,76,7.98,83.98,TeleShop
80712190438,270351,20-02-2014,1,1,5,772,405.3,4265.3,e-Shop
66989395597,272785,20-02-2014,10,3,2,474,99.54,1047.54,TeleShop
88853694830,268444,20-02-2014,4,4,-3,-80,25.2,-265.2,MBR
99581788104,267466,20-02-2014,3,2,1,96,10.08,106.08,Flagship store
28396777609,269101,19-02-2014,4,1,4,1386,582.12,6126.12,TeleShop
22391667321,270842,19-02-2014,1,2,5,723,379.575,3994.575,MBR
51075317246,274987,19-02-2014,10,6,5,374,196.35,2066.35,MBR
16199275450,275139,19-02-2014,4,2,1,173,18.165,191.165,MBR
22698449434,269136,19-02-2014,7,5,5,189,99.225,1044.225,TeleShop
13167171971,275149,19-02-2014,4,3,4,804,337.68,3553.68,MBR
32130400636,269772,19-02-2014,12,6,3,229,72.135,759.135,e-Shop
31384765864,267058,19-02-2014,3,2,1,793,83.265,876.265,e-Shop
85894118953,271817,19-02-2014,3,2,3,1401,441.315,4644.315,e-Shop
63407734630,271322,19-02-2014,3,2,5,1360,714,7514,Flagship store
90740728864,268229,19-02-2014,4,2,5,984,516.6,5436.6,TeleShop
82750983847,267544,19-02-2014,3,5,1,805,84.525,889.525,Flagship store
67328698675,268755,19-02-2014,3,2,1,1018,106.89,1124.89,Flagship store
80381707658,269407,19-02-2014,6,5,5,573,300.825,3165.825,e-Shop
78709566028,273023,19-02-2014,10,6,2,1052,220.92,2324.92,e-Shop
67079812295,271818,19-02-2014,10,3,2,1408,295.68,3111.68,MBR
72427583709,268129,19-02-2014,4,4,1,885,92.925,977.925,Flagship store
14259136777,274477,18-02-2014,10,3,1,1489,156.345,1645.345,TeleShop
7313351894,267568,18-02-2014,2,6,4,481,202.02,2126.02,Flagship store
37745642681,267098,18-02-2014,1,2,1,109,11.445,120.445,Flagship store
13861409908,271608,18-02-2014,1,2,2,1352,283.92,2987.92,MBR
58956348529,272484,18-02-2014,4,1,4,1443,606.06,6378.06,TeleShop
58886320392,268715,18-02-2014,10,6,2,768,161.28,1697.28,Flagship store
53081075361,273250,18-02-2014,11,6,5,1345,706.125,7431.125,Flagship store
10017543415,267097,18-02-2014,3,5,1,164,17.22,181.22,Flagship store
34065279733,274562,18-02-2014,6,5,2,280,58.8,618.8,e-Shop
58223423237,268138,18-02-2014,6,5,-3,-1398,440.37,-4634.37,e-Shop
74085729167,268492,18-02-2014,3,5,3,433,136.395,1435.395,e-Shop
83498320600,273359,18-02-2014,4,1,4,861,361.62,3805.62,e-Shop
83313344780,271288,18-02-2014,4,3,2,84,17.64,185.64,Flagship store
96923177403,270778,18-02-2014,11,6,5,1111,583.275,6138.275,MBR
78091789730,271030,18-02-2014,4,1,1,380,39.9,419.9,e-Shop
84466140532,274426,18-02-2014,6,5,5,423,222.075,2337.075,e-Shop
59232461135,269019,17-02-2014,4,2,2,479,100.59,1058.59,Flagship store
